Name,Percent,Raw,Rank
Babe Ruth,26.35,26.3484,1
Lou Gehrig,24.93,24.9344,2
Hank Greenberg,24.57,24.5715,3
Ted Williams,23.86,23.8645,4
Jimmie Foxx,23.63,23.6292,5
Mark McGwire,22.85,22.8544,6
Joe DiMaggio,22.53,22.5334,7
Hack Wilson,22.33,22.3319,8
Manny Ramirez,22.21,22.2101,9
Sam Thompson,21.82,21.8246,10
Juan Gonzalez,21.42,21.4155,11
Albert Belle,21.17,21.1686,12
Ryan Howard,20.92,20.9217,13
Al Simmons,20.86,20.8585,14
Frank Thomas,20.78,20.783,15
Carlos Delgado,20.76,20.7607,16
Johnny Mize,20.75,20.7512,17
Cap Anson,20.65,20.6461,18
David Ortiz,20.46,20.463,19
Roy Campanella,20.36,20.3567,20
Barry Bonds,20.27,20.2701,21
Aaron Judge,20.18,20.1818,22
Jim Thome,20.17,20.1734,23
Charlie Keller,20.05,20.0528,24
Jose Canseco,19.94,19.9377,25
Jason Giambi,19.83,19.8294,26
Harry Heilmann,19.76,19.7637,27
Alex Rodriguez,19.74,19.7426,28
Mel Ott,19.67,19.6701,29
Jeff Bagwell,19.61,19.6101,30
Hal Trosky,19.61,19.6086,31
Rudy York,19.56,19.5553,32
Cecil Fielder,19.55,19.5462,33
Dan Brouthers,19.52,19.5181,34
Ed Delahanty,19.51,19.507,35
Ralph Kiner,19.5,19.5005,36
Bob Meusel,19.49,19.4886,37
Harmon Killebrew,19.44,19.4427,38
Willie Stargell,19.43,19.4273,39
Albert Pujols,19.42,19.4204,40
Rogers Hornsby,19.38,19.3809,41
Mike Piazza,19.32,19.317,42
Vic Wertz,19.31,19.3146,43
Jay Buhner,19.25,19.25,44
Al Rosen,19.25,19.2483,45
Mo Vaughn,19.23,19.2336,46
Bill Dickey,19.19,19.1905,47
Richie Sexson,19.14,19.1356,48
Mike Schmidt,19.1,19.0972,49
Jim Bottomley,19.03,19.0336,50
Lance Berkman,19.01,19.0109,51
Larry Walker,18.98,18.9807,52
Willie McCovey,18.97,18.9704,53
Yogi Berra,18.93,18.9279,54
Sammy Sosa,18.92,18.9152,55
Tony Lazzeri,18.91,18.9138,56
Joe Cronin,18.79,18.7888,57
Gus Zernial,18.78,18.7848,58
Ken Williams,18.78,18.7783,59
Ken Griffey Jr.,18.73,18.7328,60
Mark Teixeira,18.71,18.714,61
Mickey Mantle,18.63,18.625,62
Duke Snider,18.61,18.6147,63
Dick Stuart,18.59,18.5889,64
Goose Goslin,18.59,18.5883,65
Hank Aaron,18.58,18.5781,66
Bob Johnson,18.54,18.5405,67
Chuck Klein,18.52,18.5168,68
Hugh Duffy,18.49,18.4891,69
Danny Tartabull,18.46,18.4594,70
Darryl Strawberry,18.46,18.457,71
Kevin Mitchell,18.38,18.3841,72
Matt Olson,18.35,18.3526,73
Vladimir Guerrero,18.34,18.3446,74
Gabby Hartnett,18.33,18.3302,75
