Name,Stolen Bases,Rank
Rickey Henderson,"1,406",1
Lou Brock,938,2
Billy Hamilton,912,3
Ty Cobb,892,4
Tim Raines,808,5
Vince Coleman,752,6
Eddie Collins,744,7
Arlie Latham,739,8
Max Carey,738,9
Honus Wagner,722,10
Joe Morgan,689,11
Willie Wilson,668,12
Tom Brown,657,13
Bert Campaneris,649,14
Kenny Lofton,622,15
Otis Nixon,620,16
George Davis,616,17
Juan Pierre,614,18
Dummy Hoy,594,19
Maury Wills,586,20
George Van Haltren,583,21
Ozzie Smith,580,22
Hugh Duffy,574,23
Bid McPhee,568,24
Brett Butler,558,25
Davey Lopes,557,26
Cesar Cedeno,550,27
Bill Dahlen,547,28
John Ward,540,29
Herman Long,534,30
Patsy Donovan,518,31
Jose Reyes,517,32
Jack Doyle,516,33
Barry Bonds,514,34
Harry Stovey,509,35
Ichiro Suzuki,509,
Luis Aparicio,506,37
Fred Clarke,506,
Paul Molitor,504,39
Willie Keeler,495,40
Clyde Milan,495,
Omar Moreno,487,42
Carl Crawford,480,43
Roberto Alomar,474,44
Mike Griffin,473,45
Jimmy Rollins,470,46
Tommy McCarthy,468,47
Jimmy Sheckard,465,48
Eric Young,465,
Delino DeShields,463,50
Bobby Bonds,461,51
Ed Delahanty,455,52
Ron LeFlore,455,
Curt Welch,453,54
Steve Sax,444,55
Joe Kelley,443,56
Sherry Magee,441,57
John McGraw,436,58
Tris Speaker,432,59
Marquis Grissom,429,60
Mike Tiernan,428,61
Bob Bescher,427,62
Charlie Comiskey,419,63
Frankie Frisch,419,
Jimmy Ryan,418,65
Rajai Davis,415,66
Craig Biggio,414,67
Johnny Damon,408,68
Tommy Harper,408,
Chuck Knoblauch,407,70
Donie Bush,404,71
Omar Vizquel,404,
Frank Chance,401,73
Bobby Abreu,400,74
Bill Lange,399,75
Willie Davis,398,76
Sam Mertes,396,77
Juan Samuel,396,
Dave Collins,395,79
Bill North,395,
Jesse Burkett,389,81
Tommy Corcoran,387,82
Tom Daly,385,83
Freddie Patek,385,
George Burns,383,85
Hugh Nicol,383,
Fred Pfeffer,382,87
Walt Wilmot,381,88
Nap Lajoie,380,89
Barry Larkin,379,90
Harry Hooper,375,91
George Sisler,375,
Jack Glasscock,372,93
Luis Castillo,370,94
Lonnie Smith,370,
Tom Goodwin,369,96
King Kelly,368,97
Sam Crawford,366,98
Tommy Dowd,366,
Hal Chase,363,100
Tony Womack,363,
Tommy Leach,361,102
Hughie Jennings,359,103
Fielder Jones,359,
Derek Jeter,358,105
Starling Marte,358,
Buck Ewing,354,107
Gary Pettis,354,
Rod Carew,353,109
Willie McGee,352,110
Tommy Tucker,352,
Sam Rice,351,112
George Case,349,113
Eric Davis,349,
Elvis Andrus,347,115
Paul Radford,346,116
Devon White,346,
Ryne Sandberg,344,118
Julio Cruz,343,119
Jacoby Ellsbury,343,
Michael Bourn,341,121
Chone Figgins,341,
Amos Otis,341,
John Anderson,338,124
Willie Mays,338,
Dee Strange-Gordon,336,126
Joe Tinker,336,
Hub Collins,335,128
Kip Selbach,334,129
Elmer Flick,330,130
Jose Cardenal,329,131
Ned Hanlon,329,
Alex Rodriguez,329,
Monte Cross,328,134
Kiki Cuyler,328,
Kid Gleason,328,
Lance Johnson,327,137
Mookie Wilson,327,
