Name,Extra Base Hits,Rank
Hank Aaron,"1,477",1
Barry Bonds,"1,440",2
Albert Pujols,"1,405",3
Stan Musial,"1,377",4
Babe Ruth,"1,356",5
Willie Mays,"1,323",6
Alex Rodriguez,"1,275",7
"Ken Griffey, Jr.","1,192",8
David Ortiz,"1,192",
Rafael Palmeiro,"1,192",
Lou Gehrig,"1,190",11
Frank Robinson,"1,186",12
Carl Yastrzemski,"1,157",13
Miguel Cabrera,"1,155",14
AdriÃ¡n BeltrÃ©,"1,151",15
Ty Cobb,"1,136",16
Tris Speaker,"1,131",17
Manny Ramirez,"1,122",18
George Brett,"1,119",19
Jimmie Foxx,"1,117",20
Ted Williams,"1,117",
Eddie Murray,"1,099",22
Dave Winfield,"1,093",23
Jim Thome,"1,089",24
Carlos Beltran,"1,078",25
Cal Ripken Jr.,"1,078",
Reggie Jackson,"1,075",27
Mel Ott,"1,071",28
Chipper Jones,"1,055",29
Pete Rose,"1,041",30
Andre Dawson,"1,039",31
Sammy Sosa,"1,033",32
Frank Thomas,"1,028",33
Luis Gonzalez,"1,018",34
Mike Schmidt,"1,015",35
Craig Biggio,"1,014",36
Rogers Hornsby,"1,011",37
Ernie Banks,"1,009",38
Gary Sheffield,"1,003",39
Todd Helton,998,40
Al Simmons,995,41
Honus Wagner,993,42
Jeff Kent,984,43
Carlos Delgado,974,44
Vladimir Guerrero,972,45
Al Kaline,972,
Jeff Bagwell,969,47
Tony Perez,963,48
Robin Yount,960,49
Fred McGriff,958,50
Paul Molitor,953,51
Willie Stargell,953,
Mickey Mantle,952,53
Billy Williams,948,54
Dwight Evans,941,55
Robinson Cano,940,56
Dave Parker,940,
Eddie Mathews,938,58
Ivan Rodriguez,934,59
Alfonso Soriano,924,60
Bobby Abreu,921,61
Harold Baines,921,
Goose Goslin,921,
Willie McCovey,920,64
Larry Walker,916,65
Freddie Freeman,913,66
Paul Waner,909,67
Aramis Ramirez,905,68
Charlie Gehringer,904,69
Nap Lajoie,902,70
Torii Hunter,890,71
Harmon Killebrew,887,72
Joe Carter,881,73
Joe DiMaggio,881,
Steve Finley,877,75
Harry Heilmann,876,76
Scott Rolen,876,
Andres Galarraga,875,78
Rickey Henderson,873,79
Derek Jeter,870,80
Vada Pinson,868,81
Johnny Damon,866,82
Sam Crawford,864,83
Joe Medwick,858,84
Paul Konerko,857,85
Jimmy Rollins,857,
Jim Edmonds,855,87
Paul Goldschmidt,855,
Jason Giambi,854,89
Andruw Jones,853,90
Nelson Cruz,851,91
Duke Snider,850,92
Juan Gonzalez,847,93
Roberto Clemente,846,94
Carlos Lee,846,
Garret Anderson,845,96
Carlton Fisk,844,97
Gary Gaetti,842,98
Mark McGwire,841,99
Edgar Martinez,838,100
Rusty Staub,838,
Joey Votto,837,102
Jim Bottomley,835,103
Mark Teixeira,835,
Jim Rice,834,105
Al Oliver,825,106
Orlando Cepeda,823,107
Andrew McCutchen,819,108
Lance Berkman,818,109
Brooks Robinson,818,
Ellis Burks,817,111
Jose Canseco,816,112
Matt Holliday,816,
Joe Morgan,813,114
Roger Connor,812,115
Ryan Braun,809,116
