Name,Games,Rank
Jesse Orosco,1252,1
Mike Stanton,1178,2
John Franco,1119,3
Mariano Rivera,1115,4
Dennis Eckersley,1071,5
Hoyt Wilhelm,1070,6
Dan Plesac,1064,7
Mike Timlin,1058,8
Kent Tekulve,1050,9
LaTroy Hawkins,1042,10
Trevor Hoffman,1035,11
Jose Mesa,1022,12
Lee Smith,1022,13
Roberto Hernandez,1010,14
Michael Jackson,1005,15
Rich Gossage,1002,16
Lindy McDaniel,987,17
Todd Jones,982,18
David Weathers,964,19
Fernando Rodney,951,20
Francisco Rodriguez,948,21
Rollie Fingers,944,22
Gene Garber,931,23
Eddie Guardado,908,24
Cy Young,906,25
Kenley Jansen,900,26
Arthur Rhodes,900,27
Sparky Lyle,899,28
Jim Kaat,898,29
Kyle Farnsworth,893,30
Tom Gordon,890,31
Paul Assenmacher,884,32
Mike Myers,883,33
Alan Embree,882,34
Jeff Reardon,880,35
Don McMahon,874,36
Joe Smith,866,37
Phil Niekro,864,38
David Robertson,861,39
Charlie Hough,858,40
Billy Wagner,853,41
Roy Face,848,42
Doug Jones,846,43
Chad Qualls,844,44
Paul Quantrill,841,45
Javier Lopez,839,46
Craig Kimbrel,838,47
Bob Wickman,835,48
Steve Reed,834,49
Aroldis Chapman,831,50
Julian Tavarez,828,51
Tug McGraw,824,52
Sergio Romo,821,53
Tyler Clippard,807,54
Nolan Ryan,807,55
Walter Johnson,802,56
Francisco Cordero,800,57
Jeff Nelson,798,58
Rick Honeycutt,797,59
Steve Kline,796,60
Bryan Shaw,796,61
Joe Nathan,787,62
Buddy Groom,786,63
Gaylord Perry,777,64
Don Sutton,774,65
Joakim Soria,773,66
Jeremy Affeldt,772,67
Bob Howry,769,68
Darren Oliver,767,69
Mark Guthrie,765,70
Darold Knowles,765,71
Joaquin Benoit,764,72
Armando Benitez,762,73
Kenny Rogers,762,74
Tommy John,760,75
Octavio Dotel,758,76
Jack Quinn,756,77
Ron Reed,751,78
Warren Spahn,750,79
Matt Thornton,748,80
Tom Burgmeier,745,81
Gary Lavelle,745,82
Willie Hernandez,744,83
Greg Maddux,744,84
Guillermo Mota,743,85
Steve Carlton,741,86
Ryan Madson,740,87
Russ Springer,740,88
Brad Ziegler,739,89
Steve Cishek,737,90
Ron Perranoski,737,91
Ron Kline,736,92
Rick Aguilera,732,93
Steve Bedrosian,732,94
Mark Melancon,732,95
Clay Carroll,731,96
Randy Myers,728,97
Adam Ottavino,727,98
Jason Isringhausen,724,99
Mike Marshall,723,100
Roger McDowell,723,101
John Smoltz,723,102
Jeff Fassero,720,103
Jamey Wright,719,104
Dave Righetti,718,105
Ron Villone,717,106
Danny Darwin,716,107
Eric Plunk,715,108
Johnny Klippstein,711,109
Greg Minton,710,110
Roger Clemens,709,111
Jake Diekman,705,112
Rod Beck,704,113
Stu Miller,704,114
Greg Harris,703,115
Troy Percival,703,116
Oliver Pérez,703,117
Joe Niekro,702,118
Bill Campbell,700,119
Jeff Montgomery,700,120
Larry Andersen,699,121
Bob McClure,698,122
Pud Galvin,697,123
Grover Alexander,696,124
Craig Lefferts,696,125
Jamie Moyer,696,126
Bob Miller,694,127
Trever Miller,694,128
Matt Belisle,693,129
Jonathan Broxton,693,130
Bert Blyleven,692,131
Grant Jackson,692,132
Dennis Martinez,692,133
Kent Mercker,692,134
Eppa Rixey,692,135
Early Wynn,691,136
Eddie Fisher,690,137
Jonathan Papelbon,689,138
Tony Watson,689,139
Terry Mulholland,685,140
Rheal Cormier,683,141
Tom Glavine,682,142
Ted Abernathy,681,143
Derek Lowe,681,144
Rafael Betancourt,680,145
J.C. Romero,680,146
Jason Frasor,679,147
Tim Worrell,678,148
Joe Beimel,676,149
Robin Roberts,676,150
Waite Hoyt,674,151
Jim Johnson,674,152
Dan Quisenberry,674,153
Dennys Reyes,673,154
Randy Choate,672,155
Braden Looper,670,156
Red Faber,669,157
Dave Giusti,668,158
Huston Street,668,159
Dennis Cook,665,160
Fergie Jenkins,664,161
Greg Swindell,664,162
Bruce Sutter,661,163
David Wells,660,164
Miguel Batista,658,165
Tom Seaver,656,166
Santiago Casilla,655,167
Jesse Chavez,655,168
Paul Lindblad,655,169
Chuck McElroy,654,170
Ryan Pressly,654,171
Mike Fetters,652,172
Wilbur Wood,651,173
Brian Fuentes,650,174
Jake McGee,650,175
Hector Carrasco,647,176
Sad Sam Jones,647,177
Dave LaRoche,647,178
Luke Gregerson,646,179
Darren O'Day,644,180
Robb Nen,643,181
Tom Henke,642,182
Dutch Leonard,640,183
Mike Remlinger,640,184
Gerry Staley,640,185
Dennis Lamp,639,186
Diego Segui,639,187
Frank Tanana,638,188
Bob Stanley,637,189
Boone Logan,635,190
Christy Mathewson,635,191
Jeff Shaw,633,192
Charlie Root,632,193
Dan Miceli,631,194
Jim Perry,630,195
Héctor Neris,629,196
Jerry Reuss,628,197
Tim Wakefield,627,198
Doug Brocail,626,199
Lew Burdette,626,200
Jose Valverde,626,201
Murry Dickson,625,202
Woodie Fryman,625,203
Mark Davis,624,204
Red Ruffing,624,205
Eddie Plank,623,206
Gregg Olson,622,207
Kid Nichols,620,208
Dick Tidrow,620,209
Scott Downs,619,210
Keith Foulke,619,211
Joel Peralta,619,212
Mitch Williams,619,213
Justin Wilson,619,214
Randy Johnson,618,215
Will Smith,618,216
John Wetteland,618,217
Andrew Chafin,617,218
Scott Eyre,617,219
Herb Pennock,617,220
Todd Worrell,617,221
Matt Albers,616,222
Burleigh Grimes,616,223
Lefty Grove,616,224
Tony Sipp,616,225
Jeff Brantley,615,226
Terry Forster,614,227
Justin Speier,613,228
Rick White,613,229
Jerry Koosman,612,230
Andrew Miller,612,231
Jerry Blevins,609,232
Rich Rodriguez,609,233
Dave Smith,609,234
Scott Linebrink,607,235
Norm Charlton,605,236
Dave Veres,605,237
Curt Leskanic,603,238
Brad Lidge,603,239
Bob Friend,602,240
Al Worthington,602,241
Elias Sosa,601,242
John Candelaria,600,243
Tim Keefe,600,244
Bobo Newsom,600,245
Mike Morgan,597,246
Rob Murphy,597,247
Kevin Gregg,594,248
Jason Grilli,594,249
Ted Lyons,594,250
Pedro Borbon,593,251
Ray King,593,252
Antonio Alfonseca,592,253
Jim Bunning,591,254
Aaron Loup,591,255
Rafael Soriano,591,256
Heath Bell,590,257
Turk Farrell,590,258
Dan Wheeler,590,259
Moe Drabowsky,589,260
Jeff Russell,589,261
Zack Greinke,586,262
Mickey Lolich,586,263
Stan Belinda,585,264
Billy Pierce,585,265
Doug Bair,584,266
Jim Brewer,584,267
Ugueth Urbina,583,268
Mel Harder,582,269
Doug Henry,582,270
Pedro Ramos,582,271
Ryan Dempster,581,272
Paul Derringer,579,273
Brad Hand,579,274
Jack Powell,578,275
Scott Schoeneweis,577,276
Craig Breslow,576,277
Bob Locker,576,278
Terry Adams,574,279
Stan Bahnsen,574,280
Luis Tiant,573,281
J.J. Putz,572,282
Luis García,571,283
Mudcat Grant,571,284
Brandon Lyon,571,285
Zach Duke,570,286
Bob Feller,570,287
Larry French,570,288
Damaso Marte,570,289
Curt Schilling,569,290
Curt Simmons,569,291
Jay Howell,568,292
Graeme Lloyd,568,293
Tony Fossas,567,294
Matt Herges,567,295
Mike DeJean,566,296
Bartolo Colon,565,297
Ricardo Rincon,565,298
Ted Power,564,299
Mickey Welch,564,300
Mark Eichhorn,563,301
Felix Rodriguez,563,302
Ray Sadecki,563,303
Ricky Bottalico,562,304
Craig Stammen,562,305
Doyle Alexander,561,306
Chad Bradford,561,307
Jeurys Familia,561,308
Mike Henneman,561,309
CC Sabathia,561,310
Pedro Strop,561,311
B.J. Ryan,560,312
Raisel Iglesias,559,313
Bob Patterson,559,314
Larry Jackson,558,315
Jim Palmer,558,316
Scott Sullivan,558,317
Wade Davis,557,318
Darren Holmes,557,319
Scott Radinsky,557,320
Rick Reuschel,557,321
Jack Russell,557,322
Greg Holland,556,323
Jon Rauch,556,324
Dan Spillner,556,325
Mike Dunn,555,326
Matt Guerrier,555,327
Jesse Haines,555,328
Tony Mullane,555,329
Jim Gott,554,330
Jason Grimsley,552,331
Turk Wendell,552,332
Firpo Marberry,551,333
Phil Regan,551,334
Dolf Luque,550,335
Jack Morris,549,336
Heathcliff Slocumb,548,337
David Hernandez,547,338
Daniel Hudson,547,339
J.P. Howell,546,340
Tippy Martinez,546,341
John Hiller,545,342
Al Hrabosky,545,343
Jamie Walker,545,344
John Axford,544,345
Pat Neshek,544,346
Rudy Seanez,544,347
Rube Walberg,544,348
Juan Agosto,543,349
Tom Hume,543,350
Luis Vizcaino,543,351
Guy Bush,542,352
Jared Hughes,542,353
Syl Johnson,542,354
Shawn Camp,541,355
Claude Osteen,541,356
Earl Whitehill,541,357
Taylor Rogers,539,358
Hooks Dauss,538,359
